codigo_fabricante,descricao_do_produto,marca,preco,estoque,localizacao,preco_promoc_varejo
012059,ACABAMENTO PARALAMA TRAS ESQ NOVO CORSA HATCH 02/12,NEWKA,"132,14","1,000",ACB-03,
3452,ACABAMENTO PARALAMA TRAS ESQ STRADA 05/08 PRETO TEXT,DTS,"310,26","1,000",ACB-07,
735377860,ACABAMENTO PARALAMA TRAS ESQ STRADA 1.4 SAPAO,FIAT,"127,05","0,000",X,
100166145,ACABAMENTO PARALAMA TRAS ESQ UNO WAY,FIAT,"49,67","0,000",ACB-05,
049033,ACABAMENTO PARALAMA TRAS ESQ UNO WAY 04/ CINZA,NEWKA,"78,80","0,000",ACB-05,
012057,ACABAMENTO PARALAMA TRAS ESQ UNO WAY 04/ CINZA,NEWKA,"97,02","0,000",ACB-05,
8337,ACABAMENTO PARALAMA TRAS ESQ UNO WAY 04/ CINZA,BLAWE,"100,95","0,000",ACB-05,
3246,ACABAMENTO PARALAMA TRAS ESQ UNO WAY 04/ PRETO,DTS,"100,38","1,000",ACB-05,
100220196,ACABAMENTO PARALAMA TRAS RSQ PALIO WAY 14/ PRETO,FIAT,"165,90","0,000",X,
EK0982,ACABAMENTO PARALAMA TRASEIRO CORSA 2010/...,ENGEK,"95,98","2,000",ACB-1-1,
EK0983,ACABAMENTO PARALAMA TRASEIRO CORSA 2010/...,ENGEK,"95,98","2,000",ACB-1-1,
J80859,ACABAMENTO PARALAMA TRASEIRO DIR CORSA WIND 94/ PRETO TEXTURIZADO,KJ,"58,43","1,000",ACB-01,
163PTD,ACABAMENTO PARALAMA TRASEIRO DIR CORSA WIND 94/ PRETO TEXTURIZADO,DTS,"63,05","3,000",ACB-01,
J860P,ACABAMENTO PARALAMA TRASEIRO ESQ CORSA WIND 94/ PRETO LIS,GENER,"41,58","0,000",X,
J80860,ACABAMENTO PARALAMA TRASEIRO ESQ CORSA WIND 94/ PRETO TEXTURIZADO,KARIN,"86,91","2,000",ACB-01,
163PTE,ACABAMENTO PARALAMA TRASEIRO ESQ CORSA WIND 94/ PRETO TEXTURIZADO,DTS,"61,79","3,000",ACB-01,
3580,ACABAMENTO PARALAMA TRASEIRO STRADA TREKKING 14/17 WORKING 14/ CI,DTS,"366,19","1,000",ACB-01,
3581,ACABAMENTO PARALAMA TRASEIRO STRADA TREKKING 14/17 WORKING 14/ CI,DTS,"366,19","1,000",ACB-01,
EK2178,ACABAMENTO RET PALIO 05/ 4P LD EK2178,ENGEK,"77,46","0,000",X,
EK2179,ACABAMENTO RET PALIO 05/ 4P LE EK2179,ENGEK,"77,46","0,000",X,
300557,ACABAMENTO SAIA DIANT CHEVETTE,DIVER,"29,45","0,000",SM -3-06,
0032417,ACABAMETO MACANETA INTERNA PORTA TRAS DIR GOL GIII CINZA FLANEL S,VOLKS,"30,45","0,000",I1-029,
33434,ACENDEDOR DE CIGARRO 12V UNIVERSAL,CHG,"53,42","0,000",NI2-01,
TG1401001,ACENDEDOR DE CIGARRO 12V UNIVERSAL,TIGER,"51,12","3,000",NI2-01,
760,ACIONADOR DE FREIO TRASEIRO ESQUERDO - HYUNDAI HR,CECCA,"60,57","0,000",,
0121C,ACOPLAM SETOR DIRECAO CORCEL I,FORD,"5,78","0,000",,
DEW00629,ACOPLAMENTO ALAVANCA VARAO CAMBIO FUSCA VW SEDAN,DEWPA,"93,89","5,000",A8-02,
211877,ACOPLAMENTO C/ SUPORTE HASTE TRAMBUL UNO 92/ ELB P,CORCE,"468,99","1,000",D7-06,
94652572JG,ACOPLAMENTO COL DIRECAO ACD10 ACD20 F1000 F4000,GENER,"80,85","0,000",,
200004,ACOPLAMENTO COLUNA DIRECAO FIESTA 02/ KA 08/ MECAN,VIEMA,"322,23","1,000",B6-04,
78TT4K033AA,ACOPLAMENTO COLUNA DIRECAO FIESTA KA COURIER /99,FORD,"231,00","0,000",,
200003,ACOPLAMENTO COLUNA DIRECAO MEC FIESTA /96 KA 97/07,VIEMA,"479,24","2,000",B6-04,
D11K860,ACOPLAMENTO DA COLUNA DE DIRECAO BESTA GS 1998/2004,DIVER,"621,81","0,000",X,
213683,ACOPLAMENTO HASTE MOVEL TRAMBUL UNO 92/01-94 ELBA,CORCE,"343,55","0,000",D7-06,
DEW00602,ADAPTADOR FIX FILTRO AR BRASILIA,DEWPA,"18,24","5,000",I8-64,
350007,ADAPTADOR RD 5 P/4 FUROS VW,VOLKS,"120,06","0,000",,
B0041,ADESIVO  JUNTA MOTOR 3M,3M,"60,53","2,000",VITRIN E,
PU55,ADESIVO COLA PARA PARABRISA TEK BOND,TEK B,"77,70","0,000",I4-08,
1450348,ADESIVO COLA PARA PARABRISA TEK BOND,TEK B,"38,21","1,000",I4-08,
135506,ADESIVO DUPLA FACE P/ RETROV INTERNO,NEWKA,"4,86","1,000",VITRIN E,
1533,ADESIVO JUNTA MOTOR UNIVERSAL VEDA JUNTA,ORBI,"13,44","37,000",VITRIN E,
1534,ADESIVO P/ ESCAPAMENTO UNIV (VEDA ESCAPE),ORBI,"9,24","19,000",VITRIN E,
12345,ADESIVO PARA CALOTAS SIMPLES,DIVER,"9,72","37,000",X,
1450612,ADESIVO PARA TAPECARIA 200ML,TEK B,"33,04","1,000",VITRIN E,
30G,ADESIVO PARA TAPECARIA 30G,UNIVE,"8,66","0,000",,
518228,ADESIVO PARA TAPECARIA 400ML,TEK B,"46,12","0,000",K5,
410G,ADESIVO SUPER COLA P/TAPECARIA,DIVER,"22,01","0,000",,
30000115,ADITIVO HIBRIDO PARA RADIADOR 1 LITRO 60%40% CONCENTRADO ((ROSA)),FOCK,"47,16","26,000",VITRIN E,"32,000"
30017,ADITIVO OLEO NANOTECH 48 200ML,KOUBE,"96,46","5,000",X,"75,500"
13001,ADITIVO PARA RADIADOR 1 LITRO  ROSA NAO DILUIR,KOUBE,"23,71","0,000",VITRIN E,
CAR71080,ADITIVO PARA RADIADOR 1 LITRO 50%X50% ((ROSA)),CAR+,"25,79","0,000",VITRIN E,
1220,ADITIVO PARA RADIADOR 1 LITRO 50%X50% ((ROSA)),PRIM,"8,85","0,000",VITRIN E,
5530,ADITIVO PARA RADIADOR 1 LITRO 50%X50% ((ROSA)),ORBI,"12,94","0,000",VITRIN E,
RL10008,ADITIVO PARA RADIADOR 1 LITRO 50%X50% ((ROSA)),DELPH,"48,78","1,000",VITRIN E,"38,000"
103001,ADITIVO PARA RADIADOR 1 LITRO 50%X50% ((ROSA)),PARAF,"54,48","31,000",VITRIN E,
103013,ADITIVO PARA RADIADOR 1 LITRO 50%X50% ((VERDE)) CONCENTRADO,PARAF,"49,88","0,000",VITRIN E,
13006,ADITIVO PARA RADIADOR 500 ML ROSA NAO DILUIR,KOUBE,"22,81","0,000",VITRIN E,"18,800"
CAR71056,ADITIVO RADIADOR CAR+ 1 LITRO VERDE,CAR+,"35,36","0,000",1,
1622,ADITIVO VIA TANQUE GASOLINA   ( VERMELHO ),ORBI,"23,65","6,000",VITRIN E,
VL30850,AEROFOLIO KADETT S/ BREAK LIGHT,GENER,"381,15","0,000",,
03325,AEROFOLIO TRAS ASTRA HATCH 2 4 PORTAS 03/11 S/ LED P,GENER,"406,56","0,000",,
03276,AEROFOLIO TRAS CELTA 00/05 1º GERACAO S/ LED PRETO,GENER,"155,93","0,000",,
03154,AEROFOLIO TRAS CORSA CLASSIC 95/11 S/ LED TOP LINE,GENER,"420,00","0,000",LOJANOVA,
03297,AEROFOLIO TRAS CORSA WIND HATCH 94/01 2 PORTAS S/LED,GENER,"207,90","0,000",,
03298,AEROFOLIO TRAS CORSA WIND HATCH 94/01 4 PORTAS S/LED,GENER,"162,86","0,000",,
VL10444,AEROFOLIO TRAS GOL 80/94 S/ BREAK LIGHT,VOLKS,"407,72","0,000",,
02267,AEROFOLIO TRAS GOL GII GIII GIV 2 4 PORTAS 95/10 S/LEDE,TGPOL,"280,67","0,000",M3-SUP,
02264,AEROFOLIO TRAS GOL MODELO GIII P/ GOL GII 95/ S/LE,VOLKS,"281,82","0,000",,
04155,AEROFOLIO TRAS PALIO 3ºGERACAO 2 4 PORTAS 04/14,FIAT,"249,48","0,000",,
04160,AEROFOLIO TRAS PALIO 96/02 2 4 PORTAS PRETO S/LEDS,FIAT,"242,55","0,000",,
02217,AEROFOLIO TRAS PARATI GIII GIV 03/,VOLKS,"852,60","0,000",,
AB0038,AEROFOLIO VECTRA 96/00 C/ 30 LEDS,GENER,"533,57","0,000",,
DKAG1030,AGUA DESMINERALIZADA CAR+1102 RADIADOR/BATERIA,DEKKO,"10,48","2,000",VITRIN E,
1102,AGUA DESMINERALIZADA CAR+1102 RADIADOR/BATERIA,CAR+,"9,98","0,000",VITRIN E,
00002,AGUA DESMINERALIZADA KOUBE 3 LITROS RADIADOR/BATERIA    3 LITROS,KOUBE,"28,78","0,000",VITRIN E,
00001,AGUA DESMINERALIZADA KOUBE RADIADOR/BATERIA,KOUBE,"11,67","10,000",VITRIN E,"9,500"
